generation,mean_best_so_far
0,0.78505090
1,0.80782498
2,0.81723805
3,0.82242019
4,0.82452759
5,0.82595319
6,0.82595319
7,0.82597376
8,0.82599433
9,0.82599433
10,0.82599433
11,0.82601490
12,0.82601490
13,0.82601490
14,0.82601490
15,0.82601490
16,0.82601490
17,0.82601490
18,0.82601490
19,0.82601490
20,0.82601490
21,0.82601490
22,0.82601490
23,0.82601490
24,0.82601490
25,0.82601490
26,0.82601490
27,0.82601490
28,0.82601490
29,0.82601490
30,0.82601490
31,0.82601490
32,0.82601490
33,0.82601490
34,0.82601490
35,0.82601490
36,0.82601490
37,0.82601490
38,0.82601490
39,0.82601490
40,0.82601490
41,0.82601490
42,0.82601490
43,0.82601490
44,0.82601490
45,0.82601490
46,0.82601490
47,0.82601490
48,0.82601490
49,0.82601490
50,0.82601490
51,0.82601490
52,0.82601490
53,0.82601490
54,0.82601490
55,0.82601490
56,0.82601490
57,0.82601490
58,0.82601490
59,0.82601490
60,0.82601490
61,0.82601490
62,0.82601490
63,0.82601490
64,0.82601490
65,0.82601490
66,0.82601490
67,0.82601490
68,0.82601490
69,0.82601490
70,0.82601490
71,0.82601490
72,0.82601490
73,0.82601490
74,0.82601490
75,0.82601490
76,0.82601490
77,0.82601490
78,0.82601490
79,0.82601490
80,0.82601490
81,0.82601490
82,0.82601490
83,0.82601490
84,0.82601490
85,0.82601490
86,0.82601490
87,0.82601490
88,0.82601490
89,0.82601490
90,0.82601490
91,0.82601490
92,0.82601490
93,0.82601490
94,0.82601490
95,0.82601490
96,0.82601490
97,0.82601490
98,0.82601490
99,0.82601490
100,0.82601490
101,0.82601490
102,0.82601490
103,0.82601490
104,0.82601490
105,0.82601490
106,0.82601490
107,0.82601490
108,0.82601490
109,0.82601490
110,0.82601490
111,0.82601490
112,0.82601490
113,0.82601490
114,0.82601490
115,0.82601490
116,0.82601490
117,0.82601490
118,0.82601490
119,0.82601490
120,0.82601490
121,0.82601490
122,0.82601490
123,0.82601490
124,0.82601490
125,0.82601490
126,0.82601490
127,0.82601490
128,0.82601490
129,0.82601490
130,0.82601490
131,0.82601490
132,0.82601490
133,0.82601490
134,0.82601490
135,0.82601490
136,0.82601490
137,0.82601490
138,0.82601490
139,0.82601490
140,0.82601490
141,0.82601490
142,0.82601490
143,0.82601490
144,0.82601490
145,0.82601490
146,0.82601490
147,0.82601490
148,0.82601490
149,0.82601490
